Name,Year,imdb ID,Allo ID,imdb 10,imdb 9,imdb 8,imdb 7,imdb 6,imdb 5,imdb 4,imdb 3,imdb 2,imdb 1,douban 5,douban 4,douban 3,douban 2,douban 1,frNumVot,frRat,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
The Wolf of Wall Street,2013,tt0993846,127524,13051,15830,15793,8629,3632,1609,849,592,505,1205,13080,30813,20160,2764,607,17678,4.1,539,826,326,241,140,188,455,3.8,12,19,12,9,0,11,1686,4.5,77,47,20,14,12,4,716,4.4,29,27,11,7,7,3,168,3.9,16,16,8,1,4,3
Gravity,2013,tt1454468,178496,12136,14522,15449,9897,4774,2252,1214,770,586,1357,46494,73744,40874,6472,2895,23008,4,922,1252,721,506,261,238,526,3.9,8,21,11,9,5,2,2210,4.3,129,80,50,33,19,14,769,4.2,44,31,16,16,4,6,192,4.1,14,22,14,5,1,2
Man of Steel,2013,tt0770828,123348,10741,10442,15761,13948,8458,4377,2026,1148,845,1491,9936,30267,41030,8832,2024,19630,3.7,613,987,658,591,263,204,579,3.7,24,26,16,12,9,7,2255,4.4,117,88,47,28,15,11,781,3.9,15,67,47,23,9,2,176,4,5,18,7,4,0,0
Iron Man 3,2013,tt1300854,139589,6953,8359,16645,15898,8029,3314,1458,851,481,1012,26216,67800,50021,5575,1055,19978,4,419,830,678,423,167,108,515,4,6,18,15,3,5,3,3530,4.5,104,68,70,39,19,13,943,4.2,5,23,22,9,3,2,284,4.3,8,16,10,2,0,1
The Hobbit: The Desolation of Smaug,2013,tt1170358,186918,8392,9284,12440,7823,3468,1433,656,395,238,630,38227,51780,22820,2548,579,17618,4.3,425,778,424,228,83,50,422,4.2,7,12,17,2,1,1,2463,4.6,93,73,21,14,6,2,893,4.3,16,33,22,13,10,3,321,4.5,13,20,7,3,1,0
World War Z,2013,tt0816711,140631,3547,4914,12204,15320,8073,3347,1426,748,495,864,9728,36026,32069,3957,660,16756,3.6,192,759,773,418,185,116,542,3.9,12,24,21,7,7,3,1988,4.4,64,88,59,24,13,7,573,3.8,3,22,17,12,4,0,244,4.1,4,16,14,9,1,1
Now You See Me,2013,tt1670345,182605,4511,5092,9965,10450,5807,2744,1334,645,414,610,27471,72940,49890,6473,1263,18402,4,407,905,579,339,150,90,345,3.8,6,9,13,8,3,2,1697,4.5,61,34,25,7,5,2,416,4,4,12,11,9,3,0,135,4.2,1,7,8,2,0,0
Star Trek Into Darkness,2013,tt1408101,145475,11154,14486,18203,10295,3951,1526,692,397,312,659,29818,52483,24756,2421,550,10338,4.1,211,591,372,159,61,38,256,4.2,6,19,7,1,0,0,841,4.5,50,40,13,5,1,1,678,4.2,7,26,16,8,2,3,93,4,4,7,0,1,3,0
Frozen,2013,tt2294629,203691,10788,8801,11893,8678,3981,1704,771,476,327,770,61653,69640,25875,2076,479,9957,4.3,379,439,254,123,43,22,233,4.1,11,7,6,3,0,0,2989,4.7,179,72,33,15,2,1,293,4.3,5,10,3,1,2,0,105,4.2,11,11,6,1,0,0
12 Years a Slave,2013,tt2024544,196885,9145,10650,10515,4892,1775,715,353,241,212,732,7904,23478,14087,930,139,11416,4.3,363,621,262,120,54,38,283,4,1,13,3,3,0,1,1244,4.6,63,42,15,4,1,2,320,4.2,8,22,6,4,1,2,129,4.2,8,12,7,1,0,0
Oblivion,2013,tt1483013,27405,2683,3906,9449,12186,6735,2688,1146,569,346,507,5993,21495,30614,5927,1107,13770,3.6,198,710,629,340,121,81,435,3.4,6,17,15,9,2,1,946,4,30,38,31,18,6,7,496,3.6,3,16,19,10,6,2,184,3.9,2,8,8,6,0,0
Pacific Rim,2013,tt1663662,191289,5482,5913,11008,10593,6195,3003,1490,835,542,855,45851,82532,52920,7642,2102,11444,3.7,262,694,440,287,134,86,191,3.4,5,10,9,5,0,2,1362,4.5,72,59,27,13,6,4,440,3.7,6,18,20,7,8,1,100,4,4,7,6,4,1,0
Thor: The Dark World,2013,tt1981115,193108,4674,5245,11391,11944,5700,2222,877,392,189,452,15326,39185,28997,3048,522,10976,3.8,145,372,370,161,81,40,264,3.9,4,6,8,5,0,0,3441,4.6,129,75,40,27,4,1,542,4.2,10,11,15,2,0,0,186,4.3,2,3,11,3,0,0
The Great Gatsby,2013,tt1343092,141808,4763,4913,9280,9909,5543,2670,1260,683,447,837,35151,80220,51508,6090,1044,12387,4,323,580,377,233,109,61,180,3.8,2,6,10,3,2,1,685,4.4,22,31,19,8,0,0,379,4,5,11,3,4,0,1,102,3.9,3,7,8,6,0,0
American Hustle,2013,tt1800241,205330,4362,7661,13721,11397,5156,2127,978,540,329,633,2240,9489,15369,3422,622,6427,3.4,28,197,278,173,60,29,257,3.1,1,9,16,8,1,5,968,4.1,15,31,27,22,9,2,369,3.8,5,14,13,7,5,5,92,3.6,2,5,5,6,0,1
Prisoners,2013,tt1392214,180887,5064,8746,11918,6063,1925,671,266,183,107,300,6106,15977,5877,456,114,13711,4.4,390,935,297,92,28,17,181,4.1,4,9,4,0,0,0,836,4.4,23,50,15,8,3,2,394,4.4,6,19,7,2,0,0,73,3.8,1,14,8,3,1,0
Captain Phillips,2013,tt1535109,191696,4242,7465,13036,7353,2267,700,272,147,117,303,8673,16751,5542,282,63,5364,4.3,155,386,147,45,9,4,250,4.1,7,8,6,2,0,0,902,4.4,48,49,17,2,1,0,268,4.1,5,23,5,1,0,0,82,3.8,1,13,6,2,0,0
Elysium,2013,tt1535108,182991,1804,2513,6656,10827,8070,3490,1457,775,461,734,1729,8687,24635,7088,1080,11065,3.4,80,401,509,380,124,69,270,3.2,3,10,17,6,2,1,1347,4.2,31,64,53,21,5,5,439,3.6,3,13,11,10,2,2,88,3.7,0,6,10,1,0,0
The Wolverine,2013,tt1430132,146326,2633,2915,7544,10786,6522,2748,1067,507,239,422,2307,11108,33141,11897,2246,10868,3.4,69,312,433,346,156,79,225,3.3,1,4,9,6,1,2,1936,4.3,30,68,68,32,9,4,405,3.6,2,10,9,8,1,0,145,4,2,8,6,6,0,0
This Is the End,2013,tt1245492,137289,5943,6256,10725,10406,5960,2976,1499,1008,732,1473,3133,9479,10550,2758,884,3031,3.2,15,76,125,65,32,35,46,2.6,0,2,3,1,0,0,566,3.6,15,11,13,11,7,15,293,3.5,2,11,9,2,4,1,48,2.7,0,3,3,4,0,3
We're the Millers,2013,tt1723121,193459,3432,3727,8498,10748,5657,2242,916,451,489,465,3411,11272,9022,915,99,4648,3.7,67,192,187,66,21,14,103,3.4,2,3,6,1,0,0,708,4.4,19,22,22,2,1,1,310,3.9,1,10,12,2,0,0,39,3.5,0,1,6,3,0,0
Dallas Buyers Club,2013,tt0790636,137097,3912,7845,12763,5980,1685,519,194,121,74,295,22751,28946,5905,174,58,7278,4.4,145,425,144,25,6,4,141,4,1,4,3,1,0,0,802,4.6,22,44,10,1,0,0,205,4.1,1,12,4,0,0,0,56,3.7,1,9,4,1,0,0
Rush,2013,tt1979320,195370,2916,5384,7646,4151,1334,450,190,114,75,296,15297,11379,2177,145,58,6120,4.4,239,442,112,22,4,3,122,4.1,5,7,2,0,0,0,589,4.6,48,28,0,0,0,0,277,4.3,8,18,4,0,0,0,65,3.9,1,11,2,0,0,0
The Conjuring,2013,tt1457767,203607,4758,5438,9597,7437,3260,1333,623,321,194,412,5891,18616,13196,1335,236,8386,4.2,299,630,289,111,44,27,229,4.2,10,11,9,2,0,0,2041,4.6,141,99,25,14,5,3,335,4.1,8,17,14,5,3,2,112,4.1,11,17,5,1,1,0
Despicable Me 2,2013,tt1690953,190299,3485,3730,7508,6752,2976,1122,467,165,113,298,42599,64257,33132,3012,430,9755,4.2,172,479,274,96,39,12,283,4.1,4,14,7,2,0,0,2498,4.7,106,52,21,10,0,3,458,4.2,4,10,6,0,0,0,79,4,2,4,5,2,0,0
The Secret Life of Walter Mitty,2013,tt0359950,206710,2864,3531,6293,5516,2491,1123,470,227,145,321,12137,16340,6920,688,109,8571,4,173,475,289,133,52,36,199,3.2,2,7,9,4,2,4,840,4.3,35,43,31,9,2,2,288,3.9,5,11,5,4,2,0,84,3.9,4,9,8,1,0,0
Monsters University,2013,tt1453405,109572,2900,3344,8249,7839,3052,922,313,129,81,232,34910,63438,29700,2084,261,6522,4,79,293,275,95,10,5,180,4,0,6,6,1,0,1,1279,4.5,32,44,17,6,0,0,208,3.8,0,2,7,2,0,0,57,3.9,5,4,0,0,0,0
The Hangover Part III,2013,tt1951261,194160,887,580,1743,4004,5171,3485,1728,942,574,760,1908,7096,16130,4085,596,8524,3.1,63,211,353,279,167,82,141,3.1,3,1,4,3,2,3,1256,4.3,34,18,29,23,7,4,504,3,4,7,12,8,11,4,87,3.6,0,1,5,6,1,1
Olympus Has Fallen,2013,tt2302755,204923,2011,2044,4537,6322,4486,2234,1100,656,419,701,1613,7965,18417,4604,1008,3759,3.5,59,159,208,116,52,41,151,3.4,2,6,10,8,2,0,407,4.1,5,19,18,6,3,2,199,3.5,5,4,8,4,5,1,64,3.6,2,2,3,2,1,0
Kick-Ass 2,2013,tt1650554,178979,1759,1602,4077,6256,4204,1967,991,458,285,523,2036,7369,16579,5332,1034,9072,3.9,234,464,288,127,72,34,105,3.5,3,4,6,2,0,0,796,4.5,27,22,17,6,1,1,268,3.8,1,8,8,7,0,2,37,3.4,1,1,2,0,1,1
Don Jon,2013,tt2229499,203316,1258,1576,4349,7046,4564,2100,885,458,294,537,1137,5329,13310,3458,426,5078,2.7,33,109,186,149,58,49,70,2.9,0,1,3,1,0,0,362,3.6,5,11,8,6,0,1,165,3.3,1,2,7,3,0,1,28,3.1,0,0,1,0,0,0
Warm Bodies,2013,tt1588173,190969,2880,2760,6108,8003,4036,1681,677,350,221,378,6819,19926,18282,2853,484,5293,3.8,87,276,261,104,44,23,128,3.8,0,4,4,3,0,0,758,3.9,31,20,21,7,3,5,198,3.8,3,8,3,2,0,0,81,4,2,1,4,2,2,0
Lone Survivor,2013,tt1091191,130593,4999,4821,7521,4887,1844,631,265,130,79,293,3393,7152,3182,267,70,4340,4.3,155,284,135,44,12,9,92,3.6,3,3,6,0,2,1,256,4.4,17,15,7,5,1,0,120,4,4,5,4,1,1,1,36,3.4,1,1,3,0,0,0
The Lone Ranger,2013,tt1210819,135256,1744,1484,3145,4796,3695,2300,1313,807,516,872,5492,16915,17926,3032,615,8142,3.6,121,417,362,164,70,49,181,3.3,3,5,5,3,1,0,993,4.1,27,28,27,23,5,2,319,3.4,9,12,11,6,3,1,111,4,2,4,7,3,1,0
Ender's Game,2013,tt1731141,45645,2004,2447,5067,6699,4291,2003,869,479,278,527,6980,21414,24076,5324,1301,4641,3.5,69,198,177,124,65,43,127,3.3,1,5,4,2,1,1,538,4,20,18,15,11,3,4,172,3.8,3,6,5,3,1,0,57,4,2,4,7,1,0,0
Gangster Squad,2013,tt1321870,186168,1149,1279,3599,5937,4270,2069,1023,491,278,397,551,2836,5342,1153,140,7686,3.8,96,339,350,175,60,26,120,3.4,0,6,7,1,0,1,287,4.2,10,13,11,3,1,1,280,3.8,1,5,9,3,2,0,47,3.7,0,0,2,0,0,0
About Time,2013,tt2194499,201760,2613,2911,4513,2768,1130,410,199,110,58,199,23524,22323,7969,655,164,3670,4.2,80,189,113,43,11,6,120,3.9,1,10,5,0,0,0,828,4.6,69,30,9,3,2,1,119,4.1,6,10,2,0,0,0,56,3.3,1,1,2,0,0,1
Escape Plan,2013,tt1211956,135257,882,800,2370,4507,3261,1369,566,228,106,195,11698,36996,22446,1755,219,3743,3.6,60,173,198,104,31,13,68,3.3,0,5,2,0,1,0,516,4.4,17,23,19,4,2,0,169,3.3,1,2,14,4,3,1,66,3.8,1,7,1,2,1,0
The World's End,2013,tt1213663,191174,2398,3093,6084,6419,3347,1455,631,247,159,283,3847,9313,7829,1237,247,3362,3.5,41,121,120,69,33,18,43,3.3,0,1,4,1,0,0,46,3.3,1,2,1,0,1,1,203,3.4,0,9,9,0,2,1,22,3.4,0,2,4,1,0,0
A Good Day to Die Hard,2013,tt1606378,181111,900,543,1331,2776,4187,3667,2184,1323,891,1122,1754,7947,20634,5970,1007,8189,2.3,78,145,318,434,327,224,135,3,0,3,4,6,3,3,457,3.9,6,13,15,19,4,4,497,2.5,3,6,7,15,15,8,54,3.6,1,0,6,6,0,0
The Internship,2013,tt2234155,206149,966,935,2597,5171,4698,2286,1052,473,267,457,602,2129,3754,865,166,2944,3,29,97,130,73,53,30,88,3,1,0,6,2,1,0,819,4.3,21,22,17,9,4,2,122,3.5,2,2,4,1,0,0,40,3.7,0,0,3,1,0,0
Pain & Gain,2013,tt1980209,41005,1102,1018,2998,4985,3880,1986,1055,565,417,684,544,2359,5861,1644,267,5593,3.3,48,221,250,103,49,45,98,3.1,2,2,7,2,2,0,526,4,9,24,15,9,2,4,296,3.1,2,6,5,3,7,2,44,3.4,0,0,1,1,0,0
White House Down,2013,tt2334879,205806,1303,1103,2544,4333,3778,2104,1015,599,387,871,8925,29688,20515,2293,558,4808,3.4,54,161,224,112,74,58,107,3.5,1,4,8,2,1,1,610,4.4,22,15,16,8,6,0,398,3.8,4,9,6,8,3,3,48,3.5,2,2,7,0,0,0
2 Guns,2013,tt1272878,189472,944,1116,3289,5907,3820,1403,487,226,147,265,258,1727,3936,635,60,2548,3.5,8,51,136,71,12,5,80,3.4,0,1,8,0,1,0,240,4.1,3,7,8,4,0,0,202,3.7,0,1,5,3,0,1,37,3.6,0,1,5,0,0,0
Side Effects,2013,tt2053463,200313,960,1856,5416,6633,3100,1103,472,211,138,269,2521,13190,8100,587,49,4761,3.7,44,231,245,110,25,10,103,3.2,2,1,8,2,0,1,223,4.2,5,11,3,1,0,0,187,3.8,2,10,5,1,3,1,31,3.1,0,0,3,1,0,1
Snowpiercer,2013,tt1706620,123530,1812,2864,5131,4930,2579,1237,655,387,236,398,,,,,,8521,3.4,96,355,293,194,109,113,55,3.3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,211,3.7,6,12,4,4,3,3,31,3.6,1,2,7,0,0,0
G.I. Joe: Retaliation,2013,tt1583421,170252,1043,640,1734,3538,4383,3061,1505,844,504,715,3072,13434,27441,6821,1302,4879,2.8,24,90,206,191,96,64,131,3,0,2,3,6,4,2,799,4.2,13,16,17,12,8,3,265,3.3,0,4,5,8,1,3,125,4,1,2,4,2,1,1
The Croods,2013,tt0481499,146916,1688,1738,3822,4223,2265,938,360,177,130,266,26940,54497,17480,2468,1337,4758,4.2,141,311,156,34,8,8,151,3.8,2,6,4,0,1,0,969,4.5,42,31,18,4,1,0,162,4.1,5,5,2,0,0,0,56,4,1,6,2,0,0,0
Blue Jasmine,2013,tt2334873,206191,1397,2445,5072,4568,1932,792,367,178,104,269,8932,26505,12233,728,146,5570,3.7,56,283,251,126,38,28,157,3.6,3,11,5,0,1,0,454,4.1,20,27,14,3,0,1,112,3.8,2,6,1,1,1,1,43,3.6,1,6,3,1,0,0
The Heat,2013,tt2404463,207813,2231,2134,4234,5873,3852,1650,760,379,293,499,670,2413,4474,893,146,1694,3.1,18,69,82,48,35,17,43,3.1,0,1,1,3,0,0,594,4.3,13,10,20,6,3,0,149,3.6,1,4,8,3,2,1,27,3.4,0,1,1,2,0,0
The Purge,2013,tt2184339,201653,850,510,1560,3367,4824,3808,2257,1269,792,994,518,1912,6254,4170,1538,5225,2.5,35,120,282,264,148,89,122,2.8,0,3,9,5,2,3,345,3.6,7,13,20,16,3,6,222,2.7,1,4,6,11,8,3,38,3.4,0,2,4,2,1,0
Evil Dead,2013,tt1288558,138417,2621,2136,4154,4667,3282,1866,1091,642,476,939,18339,36677,25806,8224,5672,3807,3.4,114,253,244,142,75,59,102,3.4,1,3,3,5,1,0,693,3.8,22,33,22,15,16,14,303,3.6,5,22,6,7,7,2,67,3.6,2,2,6,3,1,0
Riddick,2013,tt1411250,178185,1198,1007,2464,3922,2965,1525,684,308,194,271,472,1887,5039,1708,330,3912,2.9,36,103,148,170,102,64,105,3.2,1,3,3,4,1,0,297,4,7,3,6,10,6,0,208,3.8,2,3,8,6,0,0,86,3.8,2,5,3,1,1,1
Anchorman 2: The Legend Continues,2013,tt1229340,205681,1423,1413,3459,5522,4870,2806,1466,876,589,922,85,226,508,233,57,505,3.3,2,15,26,14,2,0,0,0,0,0,0,0,0,0,98,3.5,1,3,4,4,0,3,64,3.4,1,4,2,0,0,0,10,2.9,0,0,0,2,0,0
The Last Stand,2013,tt1549920,175593,853,606,1924,4098,3519,1751,713,355,200,332,1909,8248,10862,1454,227,3042,3.3,38,137,256,115,33,19,56,2.9,0,1,6,4,1,1,291,4.2,10,16,19,5,1,0,219,3.5,0,10,7,4,2,1,34,3.5,0,2,3,0,0,0
47 Ronin,2013,tt1335975,141505,621,527,1350,2460,2352,1364,706,392,218,338,255,966,3833,2117,556,3423,3.3,34,112,166,114,67,19,112,3.2,0,4,6,1,0,1,544,4,17,24,28,13,7,1,146,3.2,1,3,6,7,1,3,126,3.8,4,8,10,7,4,1
Saving Mr. Banks,2013,tt2140373,204100,2258,3176,5695,4312,1572,524,214,119,60,214,1447,3865,2386,207,48,3125,4.3,116,203,102,31,2,2,80,3.7,1,9,5,2,0,0,129,4.1,7,8,5,2,0,0,76,3.7,1,1,4,0,1,0,24,3.6,0,3,1,2,0,0
Jack the Giant Slayer,2013,tt1351685,142233,678,623,1775,3574,3295,1561,686,342,166,289,815,4405,12773,3480,551,3616,3.4,27,118,247,98,24,13,95,3.2,0,1,5,1,1,0,466,4,6,16,18,11,3,2,109,3.6,0,2,1,1,0,0,55,3.5,3,1,1,2,1,0
Carrie,2013,tt1939659,194194,1137,1022,1842,2873,3180,1904,973,481,322,509,607,2331,8915,3907,640,2459,2.9,37,84,149,111,75,32,89,3.1,1,2,9,2,2,0,1291,4.1,45,28,35,24,7,3,133,3,1,3,9,5,9,0,40,3.6,1,2,0,2,0,0
Last Vegas,2013,tt1204975,181122,599,578,1537,2807,2025,940,353,173,95,160,980,2956,2978,373,29,1761,3.4,9,49,93,50,11,4,39,3.1,0,0,6,2,0,0,369,4.2,10,7,11,3,1,0,80,3.6,0,1,2,1,0,0,21,3.2,0,0,1,1,0,0
The Mortal Instruments: City of Bones,2013,tt1538403,174726,1725,853,1514,1958,1850,1297,774,497,311,555,461,1432,5122,3835,1299,3277,3.6,79,97,72,67,54,47,138,3.8,8,2,5,2,4,2,1220,4.2,43,23,16,18,8,19,210,3.7,10,5,1,6,3,2,47,4,2,0,0,2,0,0
Grown Ups 2,2013,tt2191701,200730,1069,544,1106,1725,2233,1874,1205,904,855,1600,358,1014,2187,788,181,813,2.7,8,11,32,23,22,18,68,3.6,2,3,4,0,0,2,798,4,27,13,11,15,6,6,247,3.1,2,2,4,3,5,3,27,3.2,0,0,0,0,1,1
Identity Thief,2013,tt2024432,196847,954,760,1729,3409,4494,3156,1656,930,562,738,199,1081,2967,810,172,845,2.5,4,14,28,42,20,11,43,2.8,0,1,2,0,2,0,154,3.8,4,4,2,5,1,0,116,2.7,0,1,2,2,5,0,21,2.9,0,0,3,3,0,0
Trance,2013,tt1924429,193485,442,651,1814,2548,1569,737,343,188,124,183,1166,4871,5752,998,181,3910,3.8,60,217,182,86,37,17,82,3.4,2,2,5,5,0,1,181,4.1,7,5,5,4,0,1,117,3.6,0,6,3,2,0,0,33,3.4,0,2,4,1,0,0
The Host,2013,tt1517260,173053,1279,723,1365,1858,1923,1368,800,580,456,663,536,1651,3925,2072,588,4812,3.5,106,177,185,111,76,78,141,3.7,3,4,5,2,0,0,865,4,24,18,22,18,10,5,142,3.4,2,5,5,4,3,3,45,3.6,3,0,1,1,0,1
The Book Thief,2013,tt0816442,204237,1385,1428,2418,1631,803,342,154,81,34,106,2304,4618,2840,303,40,1324,4.1,47,70,36,17,6,6,262,3.9,8,11,15,5,2,0,2138,4.6,94,66,41,16,2,2,48,3.8,2,1,2,0,0,0,0,0,0,0,0,0,0,0
R.I.P.D.,2013,tt0790736,184468,461,299,851,1901,2780,2300,1200,774,458,530,581,3288,11650,3970,561,2773,2.5,8,49,136,105,70,23,53,2.4,0,0,3,0,0,0,241,3.5,3,3,8,7,3,1,168,2.9,0,2,3,6,2,0,33,3.2,0,0,4,4,0,0
The Call,2013,tt1911644,193235,831,789,1919,3147,2417,1066,445,237,140,223,1121,5092,4189,424,54,2927,3.7,54,221,176,53,28,11,22,3.3,0,2,0,1,0,0,288,4.3,13,17,11,6,1,0,117,3.8,3,7,6,1,0,0,42,3.5,0,9,4,0,0,0
Parker,2013,tt1904996,193283,406,294,964,2170,2563,1215,514,269,124,221,850,3747,10166,2290,295,2275,3.4,11,55,118,88,20,5,78,3.4,0,1,7,3,0,0,206,4,1,6,4,7,3,0,165,3.4,0,1,5,5,3,0,79,4,2,0,5,3,1,0
Nebraska,2013,tt1821549,189640,1648,3034,5238,3307,1253,416,191,110,61,138,6168,7226,1587,121,30,1200,3.9,16,95,64,19,6,0,77,3.8,1,4,3,0,0,0,178,4.2,3,11,6,2,0,0,56,3.8,3,5,1,0,0,0,0,0,0,0,0,0,0,0
Before Midnight,2013,tt2209418,208883,2065,2282,2396,1388,626,307,153,103,93,269,29711,19028,5898,723,278,600,3.5,8,17,31,17,6,3,48,3.3,1,3,1,1,1,0,156,4.2,19,8,4,4,3,1,53,3.8,4,2,1,1,0,0,20,3.2,0,2,1,0,1,0
The Spectacular Now,2013,tt1714206,142714,1177,1660,3284,3111,1540,575,282,132,72,168,330,1169,1794,301,33,1044,3.7,7,49,48,16,3,1,16,3.5,1,0,1,0,0,0,159,4.2,5,6,2,2,0,0,16,3.3,0,3,0,0,0,0,15,3.4,0,1,1,2,0,0
Epic,2013,tt0848537,196741,764,638,1615,2752,2121,951,387,191,80,210,2319,6528,5852,599,77,3047,4,54,169,146,47,11,7,88,3.4,0,0,5,3,0,0,365,4.4,14,4,11,4,0,0,131,3.8,1,4,3,0,1,0,23,3.5,0,0,2,0,0,0
The Family,2013,tt2404311,207801,499,410,1254,2649,2556,1383,679,294,176,206,3798,13997,15805,2206,362,5198,3,27,144,240,189,104,66,53,2.7,0,1,5,0,1,0,177,4.1,5,8,8,2,1,0,95,3,0,1,2,4,0,0,20,3.2,0,0,2,0,0,0
Stoker,2013,tt1682180,183129,759,992,2130,2598,1724,828,365,211,162,278,3980,11184,8413,1335,302,2872,3.5,32,147,142,89,23,25,73,3.6,2,1,2,0,0,0,184,3.7,4,6,8,3,2,1,122,3.7,0,9,3,2,0,0,55,3.3,0,2,4,2,0,0
The Butler,2013,tt1327773,188951,1732,1502,2676,3060,1751,733,399,286,224,816,1897,6057,5551,506,56,9413,4.3,223,464,280,132,29,16,152,3.7,1,6,3,2,0,1,349,4.4,12,9,8,3,0,1,79,3.6,2,3,2,0,1,1,14,3.5,1,1,2,0,0,0
Percy Jackson: Sea of Monsters,2013,tt1854564,191035,914,509,1092,1880,2138,1297,675,364,220,316,180,831,3842,2180,457,4604,3.3,72,122,182,143,68,44,93,3.6,0,1,3,4,1,0,2321,4.3,59,41,53,39,17,19,156,3.6,1,1,3,0,1,0,105,4.1,3,0,6,0,0,0
Inside Llewyn Davis,2013,tt2042568,195051,1549,2409,3809,2985,1492,659,278,148,102,223,6038,11634,5129,443,70,3695,3.6,37,187,144,113,46,32,66,3.5,1,2,3,1,1,0,67,3.8,1,2,5,0,0,0,101,3.9,3,10,4,0,0,0,26,3.6,2,4,0,0,0,0
Only God Forgives,2013,tt1602613,172433,1107,630,1301,1695,1635,1350,966,646,464,702,319,993,2183,1568,743,6755,2.2,141,265,206,271,250,367,42,2.7,0,1,1,2,1,1,0,0,0,0,0,0,0,0,185,3,3,7,9,5,1,6,21,2.4,0,0,0,1,0,1
The Counselor,2013,tt2193215,202971,388,415,838,1429,1882,1841,1243,755,509,667,141,395,1326,1796,733,3992,1.7,30,84,126,155,187,228,97,1.9,0,0,1,9,4,9,285,2.2,2,6,9,17,17,20,156,2.2,2,1,4,5,7,6,28,2.5,0,0,4,2,3,0
Jackass Presents: Bad Grandpa,2013,tt3063516,186887,1008,888,2025,3249,2400,1114,518,308,226,395,287,748,1165,501,197,796,3,10,22,43,32,15,10,11,2.8,0,0,1,0,1,0,425,4.2,10,4,13,4,1,1,113,3.5,0,1,4,4,2,0,9,3.1,0,1,0,0,0,0
Movie 43,2013,tt1333125,189172,596,263,635,1007,1335,1450,1251,1112,1155,2321,808,1665,2819,1240,545,1630,2.1,29,43,51,51,60,74,54,2.2,0,0,0,0,1,2,456,2.8,10,3,6,6,6,28,155,2.2,2,1,4,1,3,7,20,3,0,1,2,0,0,0
Jobs,2013,tt2357129,198187,440,279,710,1400,1741,1065,501,311,179,541,922,3281,8762,3866,905,2623,3,23,72,119,119,32,16,88,3.2,1,2,7,2,2,0,311,3.9,6,4,9,6,1,2,34,3.2,0,0,1,0,1,0,25,3.5,0,1,3,0,0,0
Begin Again,2013,tt1980929,203103,686,1104,2132,1737,729,235,97,45,31,80,,,,,,2741,4.1,44,171,100,28,9,3,84,3.8,0,5,6,0,1,0,367,4.4,25,16,8,0,0,0,65,3.5,0,7,5,0,0,1,15,3.4,1,1,0,0,0,0
Philomena,2013,tt2431286,213656,1083,1951,3593,2365,693,206,89,40,20,89,3187,4896,1143,46,19,2912,4.2,72,250,99,23,11,1,51,3.4,0,2,5,1,0,0,352,4.4,24,15,8,0,0,0,52,3.9,2,3,1,0,0,0,16,3.4,0,2,1,0,0,0
Enemy,2013,tt2316411,205131,586,780,1581,1834,1189,585,321,166,155,257,573,2392,2351,394,81,3080,2.7,32,94,115,91,54,59,54,2.7,1,3,2,1,2,3,188,3.1,4,9,4,3,10,5,84,3.1,0,7,2,0,4,1,29,3.4,2,5,2,1,1,0
Safe Haven,2013,tt1702439,208306,1054,729,1429,2136,1620,866,461,253,162,285,255,938,1880,407,57,667,4,12,28,18,15,4,2,59,3.6,2,1,0,3,0,2,440,4.5,31,6,8,2,0,0,79,3.8,3,1,2,0,0,0,14,3.3,1,0,1,0,0,0
Oculus,2013,tt2388715,226396,698,706,1825,2900,2086,1099,553,296,197,274,57,324,441,144,34,524,3.4,3,22,41,14,2,1,18,3.3,1,0,1,1,0,0,199,3.6,4,11,17,13,4,1,18,3.2,0,0,2,0,0,0,29,3.2,0,1,2,4,0,0
Locke,2013,tt2692904,218456,433,786,1835,1825,954,457,206,145,94,200,,,,,,770,2.8,9,30,44,19,10,7,36,2.9,0,2,3,0,0,1,0,0,0,0,0,0,0,0,68,3.5,2,7,2,0,1,0,23,3.1,1,3,2,0,0,1
42,2013,tt0453562,135624,2028,2420,5048,4042,1609,533,200,80,60,214,1802,4541,2240,131,26,425,4.2,9,16,23,2,0,0,0,0,0,0,0,0,0,0,75,4.1,5,4,1,0,0,0,39,3.6,2,0,1,0,0,0,6,3.2,0,0,0,0,0,0
Beautiful Creatures,2013,tt1559547,176164,922,598,1363,1969,1809,1090,632,357,209,416,95,382,1155,718,216,4707,3,77,142,187,183,131,139,68,3.6,3,1,2,1,0,1,693,3.9,18,12,24,16,13,5,64,3.4,2,2,2,3,0,0,39,3.5,0,2,1,0,1,0
The Bling Ring,2013,tt2132285,204184,380,273,756,1430,1885,1436,846,431,237,332,3475,11970,21237,7916,3668,4523,2.5,17,75,181,200,109,60,34,2.8,0,1,1,1,1,0,306,3.8,1,6,6,2,3,0,89,2.7,2,1,1,1,3,3,21,3.3,0,0,5,0,0,0
